# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60395.060000,764688384.003728,-387478.265890,-88088.262725,-43720.239196,0.171905,-0.407193,-0.004916
60395.080000,764690111.978331,-387257.847335,-88816.759070,-43638.588879,0.080057,-0.439565,0.100848
60395.100000,764691840.031091,-387214.945756,-89623.268143,-43366.244864,-0.035143,-0.499800,0.216038
60395.120000,764693567.977762,-387399.878433,-90572.007916,-42886.433279,-0.186393,-0.609405,0.340567
60395.140000,764695296.025546,-387892.225162,-91785.709130,-42189.692194,-0.395443,-0.819276,0.462762
60395.160000,764697023.985414,-388814.217632,-93535.031333,-41329.107871,-0.684053,-1.264142,0.502267
60395.180000,764698751.974496,-390208.220612,-96431.620307,-40747.376639,-0.843610,-2.152247,0.000214
60395.200000,764700480.037655,-391111.122219,-100553.542945,-41839.128146,-0.083718,-2.332123,-1.191807
60395.220000,764702208.004849,-390678.398819,-104021.637292,-44231.452961,0.486336,-1.695619,-1.452640
60395.240000,764703935.993539,-389648.521200,-106553.134408,-46672.411686,0.671032,-1.271609,-1.355236
60395.260000,764705664.023828,-388429.602472,-108511.006216,-48895.619238,0.728042,-1.013853,-1.217664
60395.280000,764707391.991934,-387158.281399,-110106.502896,-50885.467599,0.738647,-0.843362,-1.087482
60395.300000,764709120.019034,-385888.289121,-111453.716742,-52661.123321,0.728923,-0.722176,-0.969606
60395.320000,764710848.004225,-384645.050074,-112619.803783,-54242.531710,0.708728,-0.631551,-0.862292
60395.340000,764712576.041921,-383442.501084,-113648.091992,-55645.857930,0.682229,-0.561412,-0.763042
60395.360000,764714303.979296,-382289.836182,-114568.461420,-56882.956793,0.651261,-0.505977,-0.669650
60395.380000,764716031.971161,-381193.940085,-115403.152898,-57962.417640,0.616542,-0.461770,-0.580262
60395.400000,764717759.978803,-380161.158194,-116169.581707,-58889.745947,0.578181,-0.426698,-0.493317
60395.420000,764719488.014551,-379197.993715,-116882.408181,-59667.941513,0.535867,-0.399583,-0.407419
